2025-03-28 20:07:24,965 INFO     DataManager: Connected to PLC 127.0.0.1
2025-03-28 20:07:24,971 INFO     ScadaHMI dataMgr inited
2025-03-28 20:07:27,044 INFO     DataManager: get PLC information
2025-03-28 20:07:29,050 INFO     DataManager: get PLC information
2025-03-28 20:07:31,550 INFO     DataManager: get PLC information
2025-03-28 20:07:33,551 INFO     DataManager: get PLC information
2025-03-28 20:07:36,048 INFO     DataManager: get PLC information
2025-03-28 20:07:38,548 INFO     DataManager: get PLC information
2025-03-28 20:07:40,554 INFO     DataManager: get PLC information
2025-03-28 20:07:42,557 INFO     DataManager: get PLC information
2025-03-28 20:07:44,189 INFO     DataManager: set PLC coil:('PLC-00', 5, False)
2025-03-28 20:07:45,056 INFO     DataManager: get PLC information
2025-03-28 20:07:46,822 INFO     DataManager: set PLC coil:('PLC-00', 8, False)
2025-03-28 20:07:47,058 INFO     DataManager: get PLC information
2025-03-28 20:07:49,545 INFO     DataManager: get PLC information
2025-03-28 20:07:50,638 INFO     DataManager: set PLC coil:('PLC-00', 11, False)
2025-03-28 20:07:51,548 INFO     DataManager: get PLC information
2025-03-28 20:07:54,047 INFO     DataManager: get PLC information
2025-03-28 20:07:56,547 INFO     DataManager: get PLC information
2025-03-28 20:07:58,556 INFO     DataManager: get PLC information
2025-03-28 20:08:01,050 INFO     DataManager: get PLC information
2025-03-28 20:08:01,541 INFO     DataManager: set PLC coil:('PLC-00', 4, False)
2025-03-28 20:08:03,058 INFO     DataManager: get PLC information
2025-03-28 20:08:05,550 INFO     DataManager: get PLC information
2025-03-28 20:08:07,553 INFO     DataManager: get PLC information
2025-03-28 20:08:09,554 INFO     DataManager: get PLC information
2025-03-28 20:08:11,572 INFO     DataManager: get PLC information
2025-03-28 20:08:14,071 INFO     DataManager: get PLC information
2025-03-28 20:08:16,046 INFO     DataManager: set PLC coil:('PLC-00', 14, False)
2025-03-28 20:08:16,148 INFO     DataManager: get PLC information
2025-03-28 20:08:18,575 INFO     DataManager: get PLC information
2025-03-28 20:08:21,063 INFO     DataManager: get PLC information
2025-03-28 20:08:23,070 INFO     DataManager: get PLC information
2025-03-28 20:08:25,567 INFO     DataManager: get PLC information
2025-03-28 20:08:27,573 INFO     DataManager: get PLC information
2025-03-28 20:08:29,576 INFO     DataManager: get PLC information
2025-03-28 20:08:32,070 INFO     DataManager: get PLC information
2025-03-28 20:08:32,598 INFO     DataManager: set PLC coil:('PLC-00', 14, False)
