2025-04-05 14:11:21,054 INFO     DataManager: Connected to PLC 127.0.0.1
2025-04-05 14:11:21,086 INFO     ScadaHMI dataMgr inited
2025-04-05 14:11:23,181 INFO     DataManager: get PLC information
2025-04-05 14:11:25,671 INFO     DataManager: get PLC information
2025-04-05 14:11:27,677 INFO     DataManager: get PLC information
2025-04-05 14:11:30,181 INFO     DataManager: get PLC information
2025-04-05 14:11:32,684 INFO     DataManager: get PLC information
2025-04-05 14:11:35,175 INFO     DataManager: get PLC information
2025-04-05 14:11:36,381 INFO     DataManager: set PLC coil:('PLC-00', 16, False)
2025-04-05 14:11:37,682 INFO     DataManager: get PLC information
2025-04-05 14:11:39,682 INFO     DataManager: get PLC information
2025-04-05 14:11:42,173 INFO     DataManager: get PLC information
2025-04-05 14:11:44,679 INFO     DataManager: get PLC information
2025-04-05 14:11:47,171 INFO     DataManager: get PLC information
2025-04-05 14:11:49,189 INFO     DataManager: get PLC information
2025-04-05 14:11:49,757 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-04-05 14:11:51,219 INFO     DataManager: get PLC information
2025-04-05 14:11:53,230 INFO     DataManager: get PLC information
2025-04-05 14:11:55,230 INFO     DataManager: get PLC information
2025-04-05 14:11:57,718 INFO     DataManager: get PLC information
2025-04-05 14:11:59,722 INFO     DataManager: get PLC information
2025-04-05 14:12:01,732 INFO     DataManager: get PLC information
2025-04-05 14:12:03,766 INFO     DataManager: get PLC information
2025-04-05 14:12:05,768 INFO     DataManager: get PLC information
2025-04-05 14:12:07,769 INFO     DataManager: get PLC information
2025-04-05 14:12:09,775 INFO     DataManager: get PLC information
2025-04-05 14:12:12,268 INFO     DataManager: get PLC information
2025-04-05 14:12:14,274 INFO     DataManager: get PLC information
2025-04-05 14:12:16,277 INFO     DataManager: get PLC information
2025-04-05 14:12:18,637 INFO     DataManager: set PLC coil:('PLC-00', 19, True)
2025-04-05 14:12:18,764 INFO     DataManager: get PLC information
2025-04-05 14:12:20,776 INFO     DataManager: get PLC information
2025-04-05 14:12:23,278 INFO     DataManager: get PLC information
2025-04-05 14:12:25,279 INFO     DataManager: get PLC information
2025-04-05 14:12:27,767 INFO     DataManager: get PLC information
2025-04-05 14:12:29,517 INFO     DataManager: set PLC coil:('PLC-00', 16, True)
2025-04-05 14:12:30,275 INFO     DataManager: get PLC information
2025-04-05 14:12:32,769 INFO     DataManager: get PLC information
2025-04-05 14:12:34,770 INFO     DataManager: get PLC information
2025-04-05 14:12:36,771 INFO     DataManager: get PLC information
2025-04-05 14:12:37,477 INFO     DataManager: set PLC coil:('PLC-00', 16, False)
2025-04-05 14:12:38,778 INFO     DataManager: get PLC information
2025-04-05 14:12:41,266 INFO     DataManager: get PLC information
2025-04-05 14:12:43,276 INFO     DataManager: get PLC information
2025-04-05 14:12:45,775 INFO     DataManager: get PLC information
2025-04-05 14:12:48,277 INFO     DataManager: get PLC information
2025-04-05 14:12:50,278 INFO     DataManager: get PLC information
2025-04-05 14:12:52,766 INFO     DataManager: get PLC information
2025-04-05 14:12:54,767 INFO     DataManager: get PLC information
2025-04-05 14:12:56,774 INFO     DataManager: get PLC information
2025-04-05 14:12:59,277 INFO     DataManager: get PLC information
2025-04-05 14:13:01,278 INFO     DataManager: get PLC information
2025-04-05 14:13:03,279 INFO     DataManager: get PLC information
2025-04-05 14:13:05,284 INFO     DataManager: get PLC information
2025-04-05 14:13:07,299 INFO     DataManager: get PLC information
2025-04-05 14:13:09,309 INFO     DataManager: get PLC information
2025-04-05 14:13:11,797 INFO     DataManager: get PLC information
2025-04-05 14:13:14,305 INFO     DataManager: get PLC information
2025-04-05 14:13:16,795 INFO     DataManager: get PLC information
2025-04-05 14:13:18,800 INFO     DataManager: get PLC information
2025-04-05 14:13:21,307 INFO     DataManager: get PLC information
2025-04-05 14:13:23,808 INFO     DataManager: get PLC information
2025-04-05 14:13:26,295 INFO     DataManager: get PLC information
2025-04-05 14:13:28,301 INFO     DataManager: get PLC information
2025-04-05 14:13:30,318 INFO     DataManager: get PLC information
2025-04-05 14:13:32,819 INFO     DataManager: get PLC information
2025-04-05 14:13:34,834 INFO     DataManager: get PLC information
2025-04-05 14:13:36,849 INFO     DataManager: get PLC information
2025-04-05 14:13:38,850 INFO     DataManager: get PLC information
2025-04-05 14:13:40,855 INFO     DataManager: get PLC information
2025-04-05 14:13:43,355 INFO     DataManager: get PLC information
2025-04-05 14:13:45,856 INFO     DataManager: get PLC information
2025-04-05 14:13:48,343 INFO     DataManager: get PLC information
2025-04-05 14:13:50,357 INFO     DataManager: get PLC information
2025-04-05 14:13:52,365 INFO     DataManager: get PLC information
2025-04-05 14:13:54,382 INFO     DataManager: get PLC information
2025-04-05 14:13:56,387 INFO     DataManager: get PLC information
2025-04-05 14:13:58,390 INFO     DataManager: get PLC information
