2025-04-04 18:03:11,147 INFO     DataManager: Connected to PLC 127.0.0.1
2025-04-04 18:03:11,153 INFO     ScadaHMI dataMgr inited
2025-04-04 18:03:13,224 INFO     DataManager: get PLC information
2025-04-04 18:03:15,249 INFO     DataManager: get PLC information
2025-04-04 18:03:17,250 INFO     DataManager: get PLC information
2025-04-04 18:03:19,754 INFO     DataManager: get PLC information
2025-04-04 18:03:21,220 INFO     DataManager: set PLC coil:('PLC-00', 16, False)
2025-04-04 18:03:21,763 INFO     DataManager: get PLC information
2025-04-04 18:03:24,248 INFO     DataManager: get PLC information
2025-04-04 18:03:26,272 INFO     DataManager: get PLC information
2025-04-04 18:03:26,410 INFO     DataManager: set PLC coil:('PLC-00', 16, True)
2025-04-04 18:03:28,292 INFO     DataManager: get PLC information
2025-04-04 18:03:30,299 INFO     DataManager: get PLC information
2025-04-04 18:03:31,684 INFO     DataManager: set PLC coil:('PLC-00', 14, False)
2025-04-04 18:03:32,801 INFO     DataManager: get PLC information
2025-04-04 18:03:34,809 INFO     DataManager: get PLC information
2025-04-04 18:03:36,628 INFO     DataManager: set PLC coil:('PLC-00', 14, True)
2025-04-04 18:03:36,823 INFO     DataManager: get PLC information
2025-04-04 18:03:38,838 INFO     DataManager: get PLC information
2025-04-04 18:03:40,845 INFO     DataManager: get PLC information
2025-04-04 18:03:42,864 INFO     DataManager: get PLC information
2025-04-04 18:03:44,875 INFO     DataManager: get PLC information
2025-04-04 18:03:47,379 INFO     DataManager: get PLC information
2025-04-04 18:03:49,878 INFO     DataManager: get PLC information
2025-04-04 18:03:51,901 INFO     DataManager: get PLC information
2025-04-04 18:03:54,401 INFO     DataManager: get PLC information
2025-04-04 18:03:56,405 INFO     DataManager: get PLC information
2025-04-04 18:03:56,436 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-04-04 18:03:58,433 INFO     DataManager: get PLC information
2025-04-04 18:04:00,447 INFO     DataManager: get PLC information
2025-04-04 18:04:02,462 INFO     DataManager: get PLC information
2025-04-04 18:04:04,471 INFO     DataManager: get PLC information
2025-04-04 18:04:06,480 INFO     DataManager: get PLC information
2025-04-04 18:04:08,977 INFO     DataManager: get PLC information
2025-04-04 18:04:11,473 INFO     DataManager: get PLC information
2025-04-04 18:04:12,563 INFO     DataManager: set PLC coil:('PLC-00', 16, False)
2025-04-04 18:04:13,481 INFO     DataManager: get PLC information
2025-04-04 18:04:15,491 INFO     DataManager: get PLC information
2025-04-04 18:04:17,493 INFO     DataManager: get PLC information
2025-04-04 18:04:19,991 INFO     DataManager: get PLC information
2025-04-04 18:04:21,995 INFO     DataManager: get PLC information
2025-04-04 18:04:24,494 INFO     DataManager: get PLC information
2025-04-04 18:04:26,995 INFO     DataManager: get PLC information
2025-04-04 18:04:28,999 INFO     DataManager: get PLC information
2025-04-04 18:04:31,003 INFO     DataManager: get PLC information
2025-04-04 18:04:33,504 INFO     DataManager: get PLC information
2025-04-04 18:04:35,507 INFO     DataManager: get PLC information
2025-04-04 18:04:38,003 INFO     DataManager: get PLC information
2025-04-04 18:04:40,006 INFO     DataManager: get PLC information
2025-04-04 18:04:42,010 INFO     DataManager: get PLC information
2025-04-04 18:04:44,011 INFO     DataManager: get PLC information
2025-04-04 18:04:46,013 INFO     DataManager: get PLC information
2025-04-04 18:04:48,023 INFO     DataManager: get PLC information
2025-04-04 18:04:50,034 INFO     DataManager: get PLC information
2025-04-04 18:04:52,549 INFO     DataManager: get PLC information
2025-04-04 18:04:54,553 INFO     DataManager: get PLC information
2025-04-04 18:04:56,559 INFO     DataManager: get PLC information
2025-04-04 18:04:59,053 INFO     DataManager: get PLC information
2025-04-04 18:05:01,088 INFO     DataManager: get PLC information
2025-04-04 18:05:03,096 INFO     DataManager: get PLC information
2025-04-04 18:05:05,100 INFO     DataManager: get PLC information
2025-04-04 18:05:07,102 INFO     DataManager: get PLC information
2025-04-04 18:05:09,103 INFO     DataManager: get PLC information
2025-04-04 18:05:11,620 INFO     DataManager: get PLC information
2025-04-04 18:05:13,622 INFO     DataManager: get PLC information
2025-04-04 18:05:15,631 INFO     DataManager: get PLC information
2025-04-04 18:05:18,136 INFO     DataManager: get PLC information
2025-04-04 18:05:20,635 INFO     DataManager: get PLC information
2025-04-04 18:05:22,637 INFO     DataManager: get PLC information
2025-04-04 18:05:24,647 INFO     DataManager: get PLC information
2025-04-04 18:05:26,656 INFO     DataManager: get PLC information
2025-04-04 18:05:28,675 INFO     DataManager: get PLC information
2025-04-04 18:05:30,693 INFO     DataManager: get PLC information
2025-04-04 18:05:33,196 INFO     DataManager: get PLC information
2025-04-04 18:05:35,209 INFO     DataManager: get PLC information
2025-04-04 18:05:37,220 INFO     DataManager: get PLC information
2025-04-04 18:05:39,229 INFO     DataManager: get PLC information
2025-04-04 18:05:41,231 INFO     DataManager: get PLC information
2025-04-04 18:05:43,728 INFO     DataManager: get PLC information
2025-04-04 18:05:46,226 INFO     DataManager: get PLC information
2025-04-04 18:05:48,724 INFO     DataManager: get PLC information
2025-04-04 18:05:50,730 INFO     DataManager: get PLC information
2025-04-04 18:05:52,737 INFO     DataManager: get PLC information
2025-04-04 18:05:54,759 INFO     DataManager: get PLC information
2025-04-04 18:05:56,760 INFO     DataManager: get PLC information
2025-04-04 18:05:58,762 INFO     DataManager: get PLC information
2025-04-04 18:06:01,252 INFO     DataManager: get PLC information
2025-04-04 18:06:03,755 INFO     DataManager: get PLC information
2025-04-04 18:06:05,787 INFO     DataManager: get PLC information
2025-04-04 18:06:07,796 INFO     DataManager: get PLC information
2025-04-04 18:06:09,800 INFO     DataManager: get PLC information
2025-04-04 18:06:11,814 INFO     DataManager: get PLC information
2025-04-04 18:06:13,834 INFO     DataManager: get PLC information
2025-04-04 18:06:15,836 INFO     DataManager: get PLC information
2025-04-04 18:06:18,331 INFO     DataManager: get PLC information
2025-04-04 18:06:20,332 INFO     DataManager: get PLC information
2025-04-04 18:06:22,340 INFO     DataManager: get PLC information
2025-04-04 18:06:24,837 INFO     DataManager: get PLC information
2025-04-04 18:06:26,854 INFO     DataManager: get PLC information
2025-04-04 18:06:29,352 INFO     DataManager: get PLC information
2025-04-04 18:06:31,381 INFO     DataManager: get PLC information
2025-04-04 18:06:33,399 INFO     DataManager: get PLC information
2025-04-04 18:06:35,427 INFO     DataManager: get PLC information
2025-04-04 18:06:37,431 INFO     DataManager: get PLC information
