2025-12-13 22:09:53,648 INFO     Power Grid System  Physical World Simulation main frame inited.
2025-12-13 22:09:54,652 INFO     datamanager subthread started.
2025-12-13 22:11:05,336 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:06,351 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:07,374 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:08,388 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:08,559 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:09,402 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:10,410 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:11,420 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:12,445 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:13,468 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:13,563 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:14,491 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:15,517 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:16,526 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:17,542 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:18,555 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:18,570 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:19,586 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:20,597 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:21,605 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:22,620 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:23,573 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:23,627 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:24,636 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:25,661 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:26,683 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:27,706 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:28,589 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:28,725 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:29,736 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:30,746 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:31,754 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:32,785 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:33,590 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:33,795 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:34,812 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:35,827 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:36,842 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:37,864 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:38,605 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:38,890 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:39,913 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:40,930 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:41,947 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:42,963 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:43,608 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:43,982 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:44,991 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:46,005 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:47,019 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:48,035 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:48,614 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:49,050 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:50,070 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:51,090 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:52,109 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:53,123 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:53,614 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:54,144 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:55,156 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:56,181 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:57,204 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:58,216 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:11:58,627 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:11:59,228 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:00,249 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:01,267 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:02,283 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:03,303 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:03,631 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:04,314 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:05,334 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:06,352 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:07,360 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:08,385 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:08,634 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:09,401 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:10,431 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:11,448 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:12,479 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:13,485 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:13,640 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:14,513 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:15,531 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:16,542 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:17,559 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:17,966 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]}'
2025-12-13 22:12:18,570 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:18,648 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:19,589 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
